repetition_id,dataset_type,imbalance_ratio,model,strategy,train_set_size,accuracy,f1_macro,f1_minority,precision_minority,recall_minority,roc_auc
1,control,100:1,baseline,N/A,416,0.7772020725388601,0.7766023311529247,0.7650273224043715,0.7446808510638298,0.7865168539325843,0.8698141745894554
1,control,100:1,ddpm,Naive Oversampling,416,0.7875647668393783,0.7873592561739178,0.7807486631016043,0.7448979591836735,0.8202247191011236,0.8751080380293863
1,control,100:1,nflow,Naive Oversampling,416,0.7823834196891192,0.7819091691777873,0.7717391304347826,0.7473684210526316,0.797752808988764,0.8742977528089888
1,control,100:1,ctgan,Naive Oversampling,416,0.7772020725388601,0.7766023311529247,0.7650273224043715,0.7446808510638298,0.7865168539325843,0.8664649956784787
1,control,100:1,tvae,Naive Oversampling,416,0.7823834196891192,0.7819091691777873,0.7717391304347826,0.7473684210526316,0.797752808988764,0.8715968020743302
2,control,100:1,baseline,N/A,416,0.7875647668393783,0.7875419519398577,0.7853403141361257,0.7352941176470589,0.8426966292134831,0.8648984442523767
2,control,100:1,ddpm,Naive Oversampling,416,0.7823834196891192,0.7823775773195876,0.78125,0.7281553398058253,0.8426966292134831,0.8627376836646499
2,control,100:1,nflow,Naive Oversampling,416,0.7979274611398963,0.7979057591623037,0.7958115183246073,0.7450980392156863,0.8539325842696629,0.864304235090752
2,control,100:1,ctgan,Naive Oversampling,416,0.7875647668393783,0.7875419519398577,0.7853403141361257,0.7352941176470589,0.8426966292134831,0.8661408815903197
2,control,100:1,tvae,Naive Oversampling,416,0.7875647668393783,0.7875647668393783,0.7875647668393783,0.7307692307692307,0.8539325842696629,0.8728392394122733
3,control,100:1,baseline,N/A,416,0.7823834196891192,0.7819091691777873,0.7920792079207921,0.7079646017699115,0.898876404494382,0.8645743301642179
3,control,100:1,ddpm,Naive Oversampling,416,0.7823834196891192,0.7819091691777873,0.7920792079207921,0.7079646017699115,0.898876404494382,0.8624675885911841
3,control,100:1,nflow,Naive Oversampling,416,0.7875647668393783,0.7871991394379454,0.7960199004975125,0.7142857142857143,0.898876404494382,0.8681395851339672
3,control,100:1,ctgan,Naive Oversampling,416,0.7823834196891192,0.7819091691777873,0.7920792079207921,0.7079646017699115,0.898876404494382,0.8711106309420916
3,control,100:1,tvae,Naive Oversampling,416,0.7927461139896373,0.7920706744236157,0.803921568627451,0.7130434782608696,0.9213483146067416,0.8757022471910112
1,control,10:1,baseline,N/A,453,0.8031088082901554,0.8028494623655914,0.7956989247311828,0.7628865979381443,0.8314606741573034,0.8673292999135696
1,control,10:1,ddpm,Naive Oversampling,453,0.8031088082901554,0.8026797244941886,0.7934782608695652,0.7684210526315789,0.8202247191011236,0.873433448573898
1,control,10:1,nflow,Naive Oversampling,453,0.8031088082901554,0.8026797244941886,0.7934782608695652,0.7684210526315789,0.8202247191011236,0.8598206568712186
1,control,10:1,ctgan,Naive Oversampling,453,0.7979274611398963,0.7975796692214603,0.7891891891891892,0.7604166666666666,0.8202247191011236,0.8689498703543649
1,control,10:1,tvae,Naive Oversampling,453,0.7927461139896373,0.7926069202664947,0.7872340425531915,0.7474747474747475,0.8314606741573034,0.867491356957649
2,control,10:1,baseline,N/A,453,0.772020725388601,0.7717204301075269,0.7634408602150538,0.7319587628865979,0.797752808988764,0.863061797752809
2,control,10:1,ddpm,Naive Oversampling,453,0.7772020725388601,0.7769865369628892,0.7700534759358288,0.7346938775510204,0.8089887640449438,0.8654926534140017
2,control,10:1,nflow,Naive Oversampling,453,0.772020725388601,0.7715238915195868,0.7608695652173914,0.7368421052631579,0.7865168539325843,0.8528522039757995
2,control,10:1,ctgan,Naive Oversampling,453,0.7616580310880829,0.7616004296455424,0.7578947368421053,0.7128712871287128,0.8089887640449438,0.86052290406223
2,control,10:1,tvae,Naive Oversampling,453,0.7772020725388601,0.7771063304058228,0.7724867724867724,0.73,0.8202247191011236,0.8661949006050129
3,control,10:1,baseline,N/A,453,0.7979274611398963,0.7979057591623037,0.7958115183246073,0.7450980392156863,0.8539325842696629,0.8726771823681936
3,control,10:1,ddpm,Naive Oversampling,453,0.7927461139896373,0.7926960257787325,0.7894736842105263,0.7425742574257426,0.8426966292134831,0.8738115816767502
3,control,10:1,nflow,Naive Oversampling,453,0.8082901554404145,0.8082695663847497,0.806282722513089,0.7549019607843137,0.8651685393258427,0.8667350907519445
3,control,10:1,ctgan,Naive Oversampling,453,0.7927461139896373,0.7926960257787325,0.7894736842105263,0.7425742574257426,0.8426966292134831,0.8689498703543647
3,control,10:1,tvae,Naive Oversampling,453,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8742977528089888
1,control,1:1,baseline,N/A,712,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8675993949870354
1,control,1:1,ddpm,Naive Oversampling,712,0.7927461139896373,0.7926960257787325,0.7894736842105263,0.7425742574257426,0.8426966292134831,0.8694360414866033
1,control,1:1,nflow,Naive Oversampling,712,0.8031088082901554,0.8031035223367697,0.8041237113402062,0.7428571428571429,0.8764044943820225,0.8609010371650822
1,control,1:1,ctgan,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8705164217804666
1,control,1:1,tvae,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7938144329896907,0.7333333333333333,0.8651685393258427,0.8719749351771824
2,control,1:1,baseline,N/A,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8687337942955919
2,control,1:1,ddpm,Naive Oversampling,712,0.7927461139896373,0.7926960257787325,0.7894736842105263,0.7425742574257426,0.8426966292134831,0.8674373379429559
2,control,1:1,nflow,Naive Oversampling,712,0.7927461139896373,0.7926960257787325,0.7894736842105263,0.7425742574257426,0.8426966292134831,0.8674373379429561
2,control,1:1,ctgan,Naive Oversampling,712,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8694900605012964
2,control,1:1,tvae,Naive Oversampling,712,0.7875647668393783,0.7875647668393783,0.7875647668393783,0.7307692307692307,0.8539325842696629,0.8702463267070009
3,control,1:1,baseline,N/A,712,0.8031088082901554,0.8031035223367697,0.8041237113402062,0.7428571428571429,0.8764044943820225,0.8693820224719101
3,control,1:1,ddpm,Naive Oversampling,712,0.7979274611398963,0.7978406252517927,0.7936507936507936,0.75,0.8426966292134831,0.8700842696629214
3,control,1:1,nflow,Naive Oversampling,712,0.8082901554404145,0.8082901554404145,0.8082901554404145,0.75,0.8764044943820225,0.8764585133967157
3,control,1:1,ctgan,Naive Oversampling,712,0.7979274611398963,0.7979274611398963,0.7979274611398963,0.7403846153846154,0.8651685393258427,0.8722450302506481
3,control,1:1,tvae,Naive Oversampling,712,0.7979274611398963,0.7979057591623037,0.7958115183246073,0.7450980392156863,0.8539325842696629,0.877808988764045
1,control,20:1,baseline,N/A,432,0.8238341968911918,0.8236021505376344,0.8172043010752689,0.7835051546391752,0.8539325842696629,0.881266205704408
1,control,20:1,ddpm,Naive Oversampling,432,0.8238341968911918,0.8237158822265205,0.8191489361702128,0.7777777777777778,0.8651685393258427,0.8787813310285221
1,control,20:1,nflow,Naive Oversampling,432,0.8186528497409327,0.8183407287884901,0.8108108108108109,0.78125,0.8426966292134831,0.8761884183232498
1,control,20:1,ctgan,Naive Oversampling,432,0.8186528497409327,0.8185749200977628,0.8148148148148148,0.77,0.8651685393258427,0.871866897147796
1,control,20:1,tvae,Naive Oversampling,432,0.8082901554404145,0.8079601990049752,0.8,0.7708333333333334,0.8314606741573034,0.8808340535868626
2,control,20:1,baseline,N/A,432,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8752160760587727
2,control,20:1,ddpm,Naive Oversampling,432,0.7823834196891192,0.7822372662798194,0.776595744680851,0.7373737373737373,0.8202247191011236,0.8741897147796025
2,control,20:1,nflow,Naive Oversampling,432,0.8134715025906736,0.8134664948453608,0.8125,0.7572815533980582,0.8764044943820225,0.8718668971477961
2,control,20:1,ctgan,Naive Oversampling,432,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8815363007778737
2,control,20:1,tvae,Naive Oversampling,432,0.7979274611398963,0.7979057591623037,0.7958115183246073,0.7450980392156863,0.8539325842696629,0.874351771823682
3,control,20:1,baseline,N/A,432,0.8134715025906736,0.8130650021523891,0.8043478260869565,0.7789473684210526,0.8314606741573034,0.8782411408815902
3,control,20:1,ddpm,Naive Oversampling,432,0.8238341968911918,0.8234502798105897,0.8152173913043478,0.7894736842105263,0.8426966292134831,0.8730012964563527
3,control,20:1,nflow,Naive Oversampling,432,0.8082901554404145,0.8079601990049752,0.8,0.7708333333333334,0.8314606741573034,0.8762964563526361
3,control,20:1,ctgan,Naive Oversampling,432,0.8082901554404145,0.8079601990049752,0.8,0.7708333333333334,0.8314606741573034,0.8796456352636128
3,control,20:1,tvae,Naive Oversampling,432,0.7979274611398963,0.7978406252517927,0.7936507936507936,0.75,0.8426966292134831,0.8736495246326706
1,control,50:1,baseline,N/A,420,0.8031088082901554,0.80297657425317,0.7978723404255319,0.7575757575757576,0.8426966292134831,0.8629537597234225
1,control,50:1,ddpm,Naive Oversampling,420,0.7979274611398963,0.7977319753849461,0.7914438502673797,0.7551020408163265,0.8314606741573034,0.8584161624891962
1,control,50:1,nflow,Naive Oversampling,420,0.8134715025906736,0.8133462282398453,0.8085106382978723,0.7676767676767676,0.8539325842696629,0.8543647363872082
1,control,50:1,ctgan,Naive Oversampling,420,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8582541054451167
1,control,50:1,tvae,Naive Oversampling,420,0.8082901554404145,0.8082077726747777,0.8042328042328042,0.76,0.8539325842696629,0.8650064822817631
2,control,50:1,baseline,N/A,420,0.7927461139896373,0.7926960257787325,0.7894736842105263,0.7425742574257426,0.8426966292134831,0.8728932584269663
2,control,50:1,ddpm,Naive Oversampling,420,0.7772020725388601,0.7771781447174118,0.774869109947644,0.7254901960784313,0.8314606741573034,0.8667350907519447
2,control,50:1,nflow,Naive Oversampling,420,0.7823834196891192,0.7823775773195876,0.7835051546391752,0.7238095238095238,0.8539325842696629,0.8710566119273985
2,control,50:1,ctgan,Naive Oversampling,420,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8697061365600692
2,control,50:1,tvae,Naive Oversampling,420,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8679775280898877
3,control,50:1,baseline,N/A,420,0.7772020725388601,0.7772020725388601,0.7772020725388601,0.7211538461538461,0.8426966292134831,0.8652225583405359
3,control,50:1,ddpm,Naive Oversampling,420,0.772020725388601,0.7720146048109966,0.7708333333333334,0.7184466019417476,0.8314606741573034,0.8626296456352636
3,control,50:1,nflow,Naive Oversampling,420,0.7772020725388601,0.7771781447174118,0.774869109947644,0.7254901960784313,0.8314606741573034,0.8686257562662056
3,control,50:1,ctgan,Naive Oversampling,420,0.7823834196891192,0.7823775773195876,0.78125,0.7281553398058253,0.8426966292134831,0.8675993949870354
3,control,50:1,tvae,Naive Oversampling,420,0.7875647668393783,0.7875419519398577,0.7897435897435897,0.7264150943396226,0.8651685393258427,0.866194900605013
1,control,5:1,baseline,N/A,494,0.8134715025906736,0.8132258064516129,0.8064516129032258,0.7731958762886598,0.8426966292134831,0.872461106309421
1,control,5:1,ddpm,Naive Oversampling,494,0.8290155440414507,0.8287212585720048,0.8216216216216217,0.7916666666666666,0.8539325842696629,0.8765125324114088
1,control,5:1,nflow,Naive Oversampling,494,0.8031088082901554,0.8026797244941886,0.7934782608695652,0.7684210526315789,0.8202247191011236,0.883480985306828
1,control,5:1,ctgan,Naive Oversampling,494,0.8082901554404145,0.8081046945959744,0.8021390374331551,0.7653061224489796,0.8426966292134831,0.8609010371650823
1,control,5:1,tvae,Naive Oversampling,494,0.8186528497409327,0.818477413807003,0.8128342245989305,0.7755102040816326,0.8539325842696629,0.8705704407951599
2,control,5:1,baseline,N/A,494,0.772020725388601,0.7720146048109966,0.7708333333333334,0.7184466019417476,0.8314606741573034,0.8540406222990493
2,control,5:1,ddpm,Naive Oversampling,494,0.772020725388601,0.7720146048109966,0.7708333333333334,0.7184466019417476,0.8314606741573034,0.8582541054451166
2,control,5:1,nflow,Naive Oversampling,494,0.7668393782383419,0.7668143374949659,0.7643979057591623,0.7156862745098039,0.8202247191011236,0.85269014693172
2,control,5:1,ctgan,Naive Oversampling,494,0.7772020725388601,0.7771781447174118,0.7794871794871795,0.7169811320754716,0.8539325842696629,0.8604148660328435
2,control,5:1,tvae,Naive Oversampling,494,0.7823834196891192,0.7823308270676692,0.7789473684210526,0.7326732673267327,0.8314606741573034,0.8556071737251512
3,control,5:1,baseline,N/A,494,0.7772020725388601,0.7771781447174118,0.774869109947644,0.7254901960784313,0.8314606741573034,0.8681395851339673
3,control,5:1,ddpm,Naive Oversampling,494,0.7875647668393783,0.7873592561739178,0.7807486631016043,0.7448979591836735,0.8202247191011236,0.871218668971478
3,control,5:1,nflow,Naive Oversampling,494,0.7616580310880829,0.7616004296455424,0.7578947368421053,0.7128712871287128,0.8089887640449438,0.8591184096802074
3,control,5:1,ctgan,Naive Oversampling,494,0.7668393782383419,0.7668143374949659,0.7643979057591623,0.7156862745098039,0.8202247191011236,0.8617113223854795
3,control,5:1,tvae,Naive Oversampling,494,0.7875647668393783,0.7875647668393783,0.7875647668393783,0.7307692307692307,0.8539325842696629,0.8671132238547969
1,imbalanced,100:1,baseline,N/A,416,0.5699481865284974,0.4285663325366532,0.14432989690721648,0.875,0.07865168539325842,0.7715535868625756
1,imbalanced,100:1,ddpm,Naive Oversampling,416,0.5647668393782384,0.40935587292334596,0.10638297872340426,1.0,0.056179775280898875,0.7343885047536733
1,imbalanced,100:1,nflow,Naive Oversampling,416,0.5803108808290155,0.44979410833069366,0.18181818181818182,0.9,0.10112359550561797,0.7365492653414002
1,imbalanced,100:1,ctgan,Naive Oversampling,416,0.5854922279792746,0.4601398601398602,0.2,0.9090909090909091,0.11235955056179775,0.7536192739844426
1,imbalanced,100:1,tvae,Naive Oversampling,416,0.7202072538860104,0.7117809734513274,0.6625,0.7464788732394366,0.5955056179775281,0.8359982713915297
2,imbalanced,100:1,baseline,N/A,416,0.538860103626943,0.36962824323828397,0.043010752688172046,0.5,0.02247191011235955,0.7697169403630079
2,imbalanced,100:1,ddpm,Naive Oversampling,416,0.538860103626943,0.36962824323828397,0.043010752688172046,0.5,0.02247191011235955,0.6483362143474503
2,imbalanced,100:1,nflow,Naive Oversampling,416,0.5440414507772021,0.38122996211017196,0.06382978723404255,0.6,0.033707865168539325,0.744976231633535
2,imbalanced,100:1,ctgan,Naive Oversampling,416,0.5751295336787565,0.44664335664335664,0.18,0.8181818181818182,0.10112359550561797,0.7622082973206568
2,imbalanced,100:1,tvae,Naive Oversampling,416,0.6528497409326425,0.6209362999443028,0.5109489051094891,0.7291666666666666,0.39325842696629215,0.7945116681071738
3,imbalanced,100:1,baseline,N/A,416,0.5492227979274611,0.3745203948593779,0.04395604395604396,1.0,0.02247191011235955,0.7537273120138288
3,imbalanced,100:1,ddpm,Naive Oversampling,416,0.5440414507772021,0.3624624624624625,0.022222222222222223,1.0,0.011235955056179775,0.6327247191011237
3,imbalanced,100:1,nflow,Naive Oversampling,416,0.5440414507772021,0.3624624624624625,0.022222222222222223,1.0,0.011235955056179775,0.6607605877268798
3,imbalanced,100:1,ctgan,Naive Oversampling,416,0.5492227979274611,0.3745203948593779,0.04395604395604396,1.0,0.02247191011235955,0.7051101987899742
3,imbalanced,100:1,tvae,Naive Oversampling,416,0.6010362694300518,0.5365351629502573,0.36363636363636365,0.6875,0.24719101123595505,0.718614952463267
1,imbalanced,10:1,baseline,N/A,453,0.7202072538860104,0.695476858345021,0.6086956521739131,0.8571428571428571,0.47191011235955055,0.8801318063958514
1,imbalanced,10:1,ddpm,Naive Oversampling,453,0.7357512953367875,0.7074801628577372,0.6165413533834586,0.9318181818181818,0.4606741573033708,0.8915838375108036
1,imbalanced,10:1,nflow,Naive Oversampling,453,0.6632124352331606,0.6154789272030652,0.48,0.8333333333333334,0.33707865168539325,0.8542566983578218
1,imbalanced,10:1,ctgan,Naive Oversampling,453,0.7564766839378239,0.747698384001335,0.7006369426751592,0.8088235294117647,0.6179775280898876,0.8584701815038893
1,imbalanced,10:1,tvae,Naive Oversampling,453,0.7772020725388601,0.7737027240749326,0.7455621301775148,0.7875,0.7078651685393258,0.8710566119273986
2,imbalanced,10:1,baseline,N/A,453,0.7305699481865285,0.7103440314015239,0.6338028169014085,0.8490566037735849,0.5056179775280899,0.8647904062229905
2,imbalanced,10:1,ddpm,Naive Oversampling,453,0.6994818652849741,0.6685027244728737,0.5671641791044776,0.8444444444444444,0.42696629213483145,0.8667891097666379
2,imbalanced,10:1,nflow,Naive Oversampling,453,0.7046632124352331,0.6884716676578031,0.6174496644295302,0.7666666666666667,0.5168539325842697,0.8334053586862575
2,imbalanced,10:1,ctgan,Naive Oversampling,453,0.7461139896373057,0.7398277806817244,0.6993865030674846,0.7702702702702703,0.6404494382022472,0.8428046672428695
2,imbalanced,10:1,tvae,Naive Oversampling,453,0.772020725388601,0.7681301878549585,0.7380952380952381,0.7848101265822784,0.6966292134831461,0.8667891097666379
3,imbalanced,10:1,baseline,N/A,453,0.7305699481865285,0.7067554932211313,0.6231884057971014,0.8775510204081632,0.48314606741573035,0.8864520311149525
3,imbalanced,10:1,ddpm,Naive Oversampling,453,0.7150259067357513,0.6867345433082485,0.5925925925925926,0.8695652173913043,0.449438202247191,0.8792134831460674
3,imbalanced,10:1,nflow,Naive Oversampling,453,0.6632124352331606,0.6121982132368853,0.4715447154471545,0.8529411764705882,0.3258426966292135,0.8646823681936041
3,imbalanced,10:1,ctgan,Naive Oversampling,453,0.7357512953367875,0.7212641236938238,0.6577181208053692,0.8166666666666667,0.550561797752809,0.8611171132238546
3,imbalanced,10:1,tvae,Naive Oversampling,453,0.7927461139896373,0.7872574955908289,0.7530864197530864,0.8356164383561644,0.6853932584269663,0.897255834053587
1,imbalanced,1:1,baseline,N/A,712,0.8186528497409327,0.8185749200977628,0.8223350253807107,0.75,0.9101123595505618,0.8718128781331027
1,imbalanced,1:1,ddpm,Naive Oversampling,712,0.8186528497409327,0.8185749200977628,0.8223350253807107,0.75,0.9101123595505618,0.8718128781331027
1,imbalanced,1:1,nflow,Naive Oversampling,712,0.8186528497409327,0.8185749200977628,0.8223350253807107,0.75,0.9101123595505618,0.8718128781331027
1,imbalanced,1:1,ctgan,Naive Oversampling,712,0.8186528497409327,0.8185749200977628,0.8223350253807107,0.75,0.9101123595505618,0.8718128781331027
1,imbalanced,1:1,tvae,Naive Oversampling,712,0.8186528497409327,0.8185749200977628,0.8223350253807107,0.75,0.9101123595505618,0.8718128781331027
2,imbalanced,1:1,baseline,N/A,712,0.8031088082901554,0.8030612244897959,0.8061224489795918,0.7383177570093458,0.8876404494382022,0.8739196197061365
2,imbalanced,1:1,ddpm,Naive Oversampling,712,0.8031088082901554,0.8030612244897959,0.8061224489795918,0.7383177570093458,0.8876404494382022,0.8739196197061365
2,imbalanced,1:1,nflow,Naive Oversampling,712,0.8031088082901554,0.8030612244897959,0.8061224489795918,0.7383177570093458,0.8876404494382022,0.8739196197061365
2,imbalanced,1:1,ctgan,Naive Oversampling,712,0.8031088082901554,0.8030612244897959,0.8061224489795918,0.7383177570093458,0.8876404494382022,0.8739196197061365
2,imbalanced,1:1,tvae,Naive Oversampling,712,0.8031088082901554,0.8030612244897959,0.8061224489795918,0.7383177570093458,0.8876404494382022,0.8739196197061365
3,imbalanced,1:1,baseline,N/A,712,0.7875647668393783,0.7875419519398577,0.7897435897435897,0.7264150943396226,0.8651685393258427,0.8665730337078652
3,imbalanced,1:1,ddpm,Naive Oversampling,712,0.7875647668393783,0.7875419519398577,0.7897435897435897,0.7264150943396226,0.8651685393258427,0.8665730337078652
3,imbalanced,1:1,nflow,Naive Oversampling,712,0.7875647668393783,0.7875419519398577,0.7897435897435897,0.7264150943396226,0.8651685393258427,0.8665730337078652
3,imbalanced,1:1,ctgan,Naive Oversampling,712,0.7875647668393783,0.7875419519398577,0.7897435897435897,0.7264150943396226,0.8651685393258427,0.8665730337078652
3,imbalanced,1:1,tvae,Naive Oversampling,712,0.7875647668393783,0.7875419519398577,0.7897435897435897,0.7264150943396226,0.8651685393258427,0.8665730337078652
1,imbalanced,20:1,baseline,N/A,432,0.6373056994818653,0.5597627737226277,0.375,0.9130434782608695,0.23595505617977527,0.8466400172860847
1,imbalanced,20:1,ddpm,Naive Oversampling,432,0.6062176165803109,0.4998636115657392,0.2692307692307692,0.9333333333333333,0.15730337078651685,0.8438310285220397
1,imbalanced,20:1,nflow,Naive Oversampling,432,0.6113989637305699,0.5151241081298362,0.29906542056074764,0.8888888888888888,0.1797752808988764,0.8109874675885913
1,imbalanced,20:1,ctgan,Naive Oversampling,432,0.6580310880829016,0.593295019157088,0.43103448275862066,0.9259259259259259,0.2808988764044944,0.8596585998271391
1,imbalanced,20:1,tvae,Naive Oversampling,432,0.7616580310880829,0.7597943722943723,0.7386363636363636,0.7471264367816092,0.7303370786516854,0.8629537597234226
2,imbalanced,20:1,baseline,N/A,432,0.6683937823834197,0.6197980792908151,0.4838709677419355,0.8571428571428571,0.33707865168539325,0.8515557476231634
2,imbalanced,20:1,ddpm,Naive Oversampling,432,0.6580310880829016,0.5972046546926385,0.4406779661016949,0.896551724137931,0.29213483146067415,0.8503673292999135
2,imbalanced,20:1,nflow,Naive Oversampling,432,0.6424870466321243,0.580870550467378,0.42016806722689076,0.8333333333333334,0.2808988764044944,0.816875540190147
2,imbalanced,20:1,ctgan,Naive Oversampling,432,0.6321243523316062,0.5603080378629873,0.3826086956521739,0.8461538461538461,0.24719101123595505,0.8232497839239412
2,imbalanced,20:1,tvae,Naive Oversampling,432,0.7772020725388601,0.7742690058479532,0.7485380116959064,0.7804878048780488,0.7191011235955056,0.8597666378565254
3,imbalanced,20:1,baseline,N/A,432,0.6683937823834197,0.6130325814536342,0.4666666666666667,0.9032258064516129,0.3146067415730337,0.8345937770095073
3,imbalanced,20:1,ddpm,Naive Oversampling,432,0.6580310880829016,0.5972046546926385,0.4406779661016949,0.896551724137931,0.29213483146067415,0.8268690579083838
3,imbalanced,20:1,nflow,Naive Oversampling,432,0.6424870466321243,0.5683166391130993,0.3893805309734513,0.9166666666666666,0.24719101123595505,0.8038029386343993
3,imbalanced,20:1,ctgan,Naive Oversampling,432,0.6321243523316062,0.5558040779279718,0.37168141592920356,0.875,0.23595505617977527,0.8216832324978393
3,imbalanced,20:1,tvae,Naive Oversampling,432,0.7461139896373057,0.7308228730822872,0.6666666666666666,0.8448275862068966,0.550561797752809,0.863385911840968
1,imbalanced,50:1,baseline,N/A,420,0.5544041450777202,0.395292917516759,0.0851063829787234,0.8,0.0449438202247191,0.7800345721694035
1,imbalanced,50:1,ddpm,Naive Oversampling,420,0.5544041450777202,0.38635019225081335,0.06521739130434782,1.0,0.033707865168539325,0.7051101987899739
1,imbalanced,50:1,nflow,Naive Oversampling,420,0.5492227979274611,0.3837939006936034,0.06451612903225806,0.75,0.033707865168539325,0.7823033707865168
1,imbalanced,50:1,ctgan,Naive Oversampling,420,0.538860103626943,0.36014155336189235,0.02197802197802198,0.5,0.011235955056179775,0.7685825410544511
1,imbalanced,50:1,tvae,Naive Oversampling,420,0.6424870466321243,0.6228867555857616,0.5369127516778524,0.6666666666666666,0.449438202247191,0.7458405358686258
2,imbalanced,50:1,baseline,N/A,420,0.5906735751295337,0.4769288826374833,0.23300970873786409,0.8571428571428571,0.1348314606741573,0.8135263612791702
2,imbalanced,50:1,ddpm,Naive Oversampling,420,0.5751295336787565,0.43927154195011336,0.16326530612244897,0.8888888888888888,0.0898876404494382,0.7718236819360415
2,imbalanced,50:1,nflow,Naive Oversampling,420,0.5492227979274611,0.3745203948593779,0.04395604395604396,1.0,0.02247191011235955,0.799913569576491
2,imbalanced,50:1,ctgan,Naive Oversampling,420,0.6424870466321243,0.5726937269372694,0.4,0.8846153846153846,0.25842696629213485,0.8119598098530683
2,imbalanced,50:1,tvae,Naive Oversampling,420,0.7409326424870466,0.7260390642743584,0.6621621621621622,0.8305084745762712,0.550561797752809,0.8614952463267069
3,imbalanced,50:1,baseline,N/A,420,0.616580310880829,0.5346063607924922,0.3392857142857143,0.8260869565217391,0.21348314606741572,0.7981309420916163
3,imbalanced,50:1,ddpm,Naive Oversampling,420,0.5854922279792746,0.47354064375340976,0.23076923076923078,0.8,0.1348314606741573,0.8121758859118409
3,imbalanced,50:1,nflow,Naive Oversampling,420,0.5699481865284974,0.43620877767219235,0.16161616161616163,0.8,0.0898876404494382,0.7579948141745894
3,imbalanced,50:1,ctgan,Naive Oversampling,420,0.6010362694300518,0.5021940843466318,0.2803738317757009,0.8333333333333334,0.16853932584269662,0.7819252376836646
3,imbalanced,50:1,tvae,Naive Oversampling,420,0.694300518134715,0.6867314093922804,0.6380368098159509,0.7027027027027027,0.5842696629213483,0.7990492653414003
1,imbalanced,5:1,baseline,N/A,494,0.7409326424870466,0.7310479375696768,0.6794871794871795,0.7910447761194029,0.5955056179775281,0.8453435609334485
1,imbalanced,5:1,ddpm,Naive Oversampling,494,0.7357512953367875,0.7212641236938238,0.6577181208053692,0.8166666666666667,0.550561797752809,0.8515017286084703
1,imbalanced,5:1,nflow,Naive Oversampling,494,0.6839378238341969,0.659198147344044,0.5673758865248227,0.7692307692307693,0.449438202247191,0.8193063958513396
1,imbalanced,5:1,ctgan,Naive Oversampling,494,0.7564766839378239,0.7504470549396132,0.7116564417177914,0.7837837837837838,0.651685393258427,0.829786084701815
1,imbalanced,5:1,tvae,Naive Oversampling,494,0.7668393782383419,0.7652258535398588,0.7457627118644068,0.75,0.7415730337078652,0.8362143474503023
2,imbalanced,5:1,baseline,N/A,494,0.7409326424870466,0.7321230290917167,0.6835443037974683,0.782608695652174,0.6067415730337079,0.8617113223854798
2,imbalanced,5:1,ddpm,Naive Oversampling,494,0.7512953367875648,0.7428381079280479,0.6962025316455697,0.7971014492753623,0.6179775280898876,0.8469101123595506
2,imbalanced,5:1,nflow,Naive Oversampling,494,0.7616580310880829,0.7544800884955752,0.7125,0.8028169014084507,0.6404494382022472,0.8614952463267069
2,imbalanced,5:1,ctgan,Naive Oversampling,494,0.7202072538860104,0.7146221248630886,0.6746987951807228,0.7272727272727273,0.6292134831460674,0.8310825410544513
2,imbalanced,5:1,tvae,Naive Oversampling,494,0.7668393782383419,0.762529735050447,0.7305389221556886,0.782051282051282,0.6853932584269663,0.8585242005185825
3,imbalanced,5:1,baseline,N/A,494,0.7461139896373057,0.734719066453477,0.6797385620915033,0.8125,0.5842696629213483,0.8653846153846154
3,imbalanced,5:1,ddpm,Naive Oversampling,494,0.7564766839378239,0.747698384001335,0.7006369426751592,0.8088235294117647,0.6179775280898876,0.8788893690579085
3,imbalanced,5:1,nflow,Naive Oversampling,494,0.7305699481865285,0.716497175141243,0.6533333333333333,0.8032786885245902,0.550561797752809,0.8439930855661193
3,imbalanced,5:1,ctgan,Naive Oversampling,494,0.7668393782383419,0.760248447204969,0.7204968944099379,0.8055555555555556,0.651685393258427,0.868733794295592
3,imbalanced,5:1,tvae,Naive Oversampling,494,0.7564766839378239,0.7519755010526892,0.718562874251497,0.7692307692307693,0.6741573033707865,0.8628457216940363
